    ;0～49번…조교 아이템, 조교 강화 도구류
0,로터,200,
1,전기안마기,5000,
2,페니스밴드,2000,
3,바이브,500,
4,바기나바벨,6000,;거기를 단련하기 위한 기구이지만 실제론 아날에도 사용할 수 있다
5,바기나벌룬,30000,
6,애액채집기,18000,;販売用愛液の採集に使える
7,바기나전극,50000,;ヴァギナを電気責めは上級者向き？
8,쿠스코,10000,;
9,애널바이브,8000,
10,관장용구일체,9000,
11,애널비즈,5000,
12,공기펌프,10000,
13,확장벌룬,30000,
14,전극플러그,50000,
15,클리캡,2000,
16,오나홀,4000,
17,전극오나홀,45000,;電流を流すことができるオナホール
18,음핵전극,40000,;陰核に装着可能な電極
19,리본,1000,;射精止めが可能になる。きつく巻いても安心
20,유두캡,3000,
21,착유기,15000,
;22,(Ｂ系調教道具),0,(자리 확보용)
23,테이프첨부전극,40000,;乳房に電極を貼り付けての調教が可能になる
24,사라시,2000,;奴隷の胸にサラシを巻くことができるようになる
25,카테터,50000,;尿道開発用のカテーテルと洗浄液のセット
26,채뇨기,20000,;
27,풍선카테터,60000,;尿道拡張用のバルーンカテーテル
28,전극카테터,80000,;尿道開発用のカテーテルに電極を取り付けてみたもの
29,밧줄,3000,
30,아이마스크,4000,
31,볼재갈,1000,
32,채찍,200,
33,바늘,3000,
34,강제개구기,20000,
35,코집게,8000,
36,빨래집게,5000,;別名：ボディークリップ。バネが弱い調教用の洗濯バサミ。セットなので複数個所挟めます
37,스턴건,30000,;バチィ！ってやるアレ
38,요도비즈,5000
39,요도바이브,10000
40,큰거울,30000,;羞恥プレイが可能になる
41,개목걸이＋목줄,5000,;野外プレイが可能になる
42,플레이매트,5000,;お風呂場でプレイの幅が広がる
43,플래카드,4500,;公衆便所プレイをするために必要
44,에이프런,50000,;新妻プレイが可能になる
45,학교수영복,50000,;スク水プレイが可能になる。フリーサイズ
46,청진기,7000,;お医者プレイが可能になる
47,가장의상일체,500000,;コスチュームプレイが可能になる。フリーサイズ
48,특주양산,20000,;誰かさんが昼間でも野外に出ることが可能になる。
49,목욕탕용대거울,40000,;曇り防止処理が施された鏡。風呂場での羞恥プレイが可能になる
50,비디오카메라,10000,
51,카메라,5000,;写真撮影が可能になる。フィルムとセットで使用
52,마이크,8000,;野外ライブを開くことができる
53,주사기세트,250000,;
58,편집기재,50000,;ビデオ売却価格が上がる
59,진화의 비법,10000,;触手を紳士的に進化させることを可能にする
    ;60～74번대…소모품(약품류)
60,로션,200,
61,미약,2000,
62,이뇨제,1000,
63,좌약,1000,;座薬挿入に必要
64,배란유도제,50000,;孕ませるのもまた愛の形
65,긴급피임약,2000,;モーニングアフターピルのこと。中出ししたいけど妊娠は嫌だというわがままさん向け
67,산란촉진제,75000,;調教終了時に[卵生][産卵体質]のキャラは卵を産むようになる
68,음핵성장제,3000,;陰核肥大化を促進させる一部コマンドが使用可能になる
71,유두확장제,5000,
72,질이완제,10000,
    ;75～89번대…소모품(그 외)
75,비디오테이프,500,;ビデオカメラの使用に必要。使い捨て
76,필름,700,;写真撮影で使用。使い捨て
77,식기세트,2000,;女体盛りを実行するために必要
78,콘돔,100,;避妊することこそ愛
79,항균면봉,5,;尿道調教にも使える清潔な綿棒。使い捨て
80,저온촛불,1500,;蝋燭プレイに必要。素肌を傷つけない優れもの。ただし高い値段の割に使い捨て
81,뚜껑달린병,1000,;母乳や黄金水を採取するために必要
82,어른용기저귀,100,;ベビープレイに必要。使い捨て
83,프리스크,1500,;タブレット菓子で強烈な清涼感がある…のをお尻に挿入する（使用後においしく頂いたら…）
    ;90번 이후…특수한 아이템 등(엔딩 관련품 외)
90,창관,100000,;奴隷に春を売らせます(Sパッチ未実装につきコメントアウト)
95,공정석목걸이,1000000,;能力のある者にこそ、多くの美が集う
96,청산호의반지,1000000,;能力のある者だけが多くを侍らせ、愛する資格を持つ
97,노예의 증표,100000,;永遠に主人の妾となる誓いを立てた証
98,붉은 개목걸이,1000000,;主人の専属奴隷となる契約を立てた証
99,약혼 반지,1000000,;すべてを捨てて、愛しのあの子と添い遂げる
    ;100번 이후…캐릭터 카드

	
100,카드라는 이름의 검,500